epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3155,0,100.472,0,0,0,0,0,0,46.4248,0,4e-05,4e-05,4e-05
2,19.4545,0,98.9101,0,0,0,0,0,0,46.48,0,9.67e-05,9.67e-05,9.67e-05
3,28.7287,0,96.6496,0,0,0,0,0,0,46.4914,0,0.00014944,0.00014944,0.00014944
4,38.066,0,93.5387,0,0,0,0,0,0,46.72,0,0.00019822,0.00019822,0.00019822
5,48.7954,0,89.2647,0,0,0,0,0,0,46.7671,0,0.00024304,0.00024304,0.00024304
6,60.9861,0,83.6618,0,0,0,0,0,0,46.555,0,0.0002839,0.0002839,0.0002839
7,76.5502,0,81.664,0,0,0,0,0,0,46.4971,0,0.0003208,0.0003208,0.0003208
8,89.3324,0,78.8355,0,0,0,0,0,0,46.4899,0,0.00035374,0.00035374,0.00035374
9,100.495,0,76.2832,0,0,0,0,0,0,46.2696,0,0.00038272,0.00038272,0.00038272
10,112.277,0,73.6346,0,0,0,0,0,0,46.1682,0,0.00040774,0.00040774,0.00040774
11,124.397,0,72.7721,0,0,0,0,0,0,45.0232,0,0.0004288,0.0004288,0.0004288
12,136.956,0,74.593,0,0,0,0,0,0,45.9849,0,0.0004459,0.0004459,0.0004459
13,149.399,0,70.7951,0,0,0,0,0,0,48.2167,0,0.00045904,0.00045904,0.00045904
14,164.139,0,69.384,0,0,0,0,0,0,47.6299,0,0.00046822,0.00046822,0.00046822
15,177.16,0,67.0366,0,0,0,0,0,0,48.2333,0,0.00047344,0.00047344,0.00047344
16,189.789,0,65.3935,0,0,0,0,0,0,42.9685,0,0.0004747,0.0004747,0.0004747
17,203.075,0,65.0312,0,0,0,0,0,0,42.2508,0,0.000472,0.000472,0.000472
18,215.171,0,63.4599,0,0,0,0,0,0,56.6801,0,0.00046534,0.00046534,0.00046534
19,226.79,0,62.518,0,0,0,0,0,0,66.382,0,0.00045472,0.00045472,0.00045472
20,237.556,0,61.9693,0,0,0,0,0,0,36.8773,0,0.00044014,0.00044014,0.00044014
21,247.467,0,60.9225,0,0,0,0,0,0,35.624,0,0.0004216,0.0004216,0.0004216
22,256.99,0,60.1332,0,0,0,0,0,0,35.688,0,0.0003991,0.0003991,0.0003991
23,266.647,0,59.9092,0,0,0,0,0,0,34.4928,0,0.00037264,0.00037264,0.00037264
24,275.92,0,59.3317,0,0,0,0,0,0,33.3685,0,0.00034222,0.00034222,0.00034222
25,285.373,0,58.665,0,0,0,0,0,0,33.6829,0,0.00030784,0.00030784,0.00030784
26,295.034,0,58.7614,0,0,0,0,0,0,34.23,0,0.0002695,0.0002695,0.0002695
27,304.535,0,60.5003,0,0,0,0,0,0,33.382,0,0.0002272,0.0002272,0.0002272
28,314.102,0,58.291,0,0,0,0,0,0,30.1583,0,0.00018094,0.00018094,0.00018094
29,324.58,0,57.8304,0,0,0,0,0,0,30.1583,0,0.00013072,0.00013072,0.00013072
30,337.565,0,57.9764,0,0,0,0,0,0,29.5027,0,7.654e-05,7.654e-05,7.654e-05
