epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6111,1.87977,4.13149,1.54965,0.00689,0.16754,0.01743,0.00932,1.87858,4.20821,1.44044,4.444e-05,4.444e-05,4.444e-05
2,38.8537,1.72142,3.81123,1.3932,0.01785,0.37292,0.07897,0.03622,1.69782,4.10444,1.29564,9.66903e-05,9.66903e-05,9.66903e-05
3,57.5848,1.75498,3.19319,1.3411,0.01676,0.71621,0.20738,0.10096,1.58665,3.92541,1.18351,0.000145274,0.000145274,0.000145274
4,76.6918,1.75114,2.44887,1.31559,0.01594,0.79366,0.25199,0.1224,1.5836,3.78017,1.16253,0.000190192,0.000190192,0.000190192
5,95.3954,1.75224,2.20488,1.34257,0.01573,0.86659,0.29991,0.14718,1.59518,3.66618,1.12003,0.000231444,0.000231444,0.000231444
6,114.155,1.59492,1.90438,1.27282,0.01559,0.89044,0.30478,0.15032,1.54312,3.65244,1.12957,0.000269029,0.000269029,0.000269029
7,141.062,1.70423,2.01903,1.34838,0.01526,0.88967,0.39582,0.1969,1.52244,3.56657,1.13109,0.000302947,0.000302947,0.000302947
8,167.442,1.63011,1.85046,1.27745,1,0.03883,0.45962,0.23082,1.53189,3.48761,1.11577,0.0003332,0.0003332,0.0003332
9,194.281,1.68117,1.71746,1.33734,1,0.04404,0.50397,0.25692,1.53452,3.43441,1.13408,0.000359786,0.000359786,0.000359786
10,220.468,1.65809,1.66232,1.35893,1,0.03954,0.45719,0.22883,1.50691,3.54453,1.18295,0.000382706,0.000382706,0.000382706
11,247.028,1.55169,1.54166,1.23207,1,0.03686,0.59764,0.32091,1.48081,3.41575,1.15068,0.00040196,0.00040196,0.00040196
12,273.349,1.66265,1.58621,1.2678,1,0.06653,0.74445,0.3915,1.49803,3.12489,1.14047,0.000417547,0.000417547,0.000417547
13,299.549,1.61159,1.51389,1.25362,1,0.09301,0.78261,0.40655,1.53035,3.01731,1.14054,0.000429468,0.000429468,0.000429468
14,326.531,1.60574,1.50061,1.27516,1,0.16993,0.81593,0.41471,1.52982,3.02693,1.13811,0.000437723,0.000437723,0.000437723
15,352.958,1.58003,1.40365,1.20286,1,0.11851,0.79274,0.40288,1.56201,3.00518,1.14314,0.000442311,0.000442311,0.000442311
16,379.305,1.54653,1.46739,1.22317,0.99331,0.16137,0.80712,0.42003,1.55575,2.91096,1.14052,0.000443233,0.000443233,0.000443233
17,405.57,1.54109,1.45851,1.23916,0.84398,0.23315,0.8128,0.44511,1.4773,2.74973,1.13392,0.000440489,0.000440489,0.000440489
18,431.931,1.53493,1.34366,1.25018,0.88118,0.3903,0.84039,0.46091,1.50291,2.61475,1.14421,0.000434079,0.000434079,0.000434079
19,458.595,1.52669,1.28281,1.23813,0.86081,0.53624,0.85612,0.47589,1.48977,2.47661,1.13818,0.000424002,0.000424002,0.000424002
20,484.755,1.55962,1.32466,1.25344,0.89276,0.67709,0.88435,0.48658,1.5095,2.24895,1.1418,0.000410259,0.000410259,0.000410259
21,510.951,1.54436,1.55033,1.26559,0.90907,0.64054,0.90102,0.49793,1.50533,2.25063,1.14051,0.00037774,0.00037774,0.00037774
22,536.724,1.53496,1.50473,1.28162,0.93139,0.5251,0.90991,0.51068,1.4695,2.33198,1.13177,0.000341077,0.000341077,0.000341077
23,562.686,1.41419,1.44182,1.21283,0.9699,0.59083,0.93434,0.53464,1.46454,2.29208,1.1356,0.000304414,0.000304414,0.000304414
24,588.421,1.48516,1.44712,1.22412,0.9165,0.89378,0.94416,0.54025,1.51349,1.91194,1.15344,0.000267751,0.000267751,0.000267751
25,614.141,1.52019,1.33227,1.23649,0.90618,0.9115,0.94662,0.54799,1.50118,1.74561,1.15701,0.000231088,0.000231088,0.000231088
26,640.127,1.45699,1.24085,1.22796,0.92666,0.90898,0.95776,0.55521,1.47306,1.65045,1.15014,0.000194425,0.000194425,0.000194425
27,665.701,1.48239,1.32934,1.23482,0.94763,0.91713,0.96621,0.56855,1.45873,1.59026,1.1489,0.000157762,0.000157762,0.000157762
28,691.768,1.49034,1.34627,1.22076,0.95961,0.93325,0.97562,0.57508,1.42887,1.50829,1.14452,0.000121099,0.000121099,0.000121099
29,717.57,1.40996,1.27928,1.18124,0.96483,0.93364,0.97656,0.57757,1.41814,1.46439,1.14458,8.4436e-05,8.4436e-05,8.4436e-05
30,743.614,1.42848,1.35149,1.17659,0.97212,0.93839,0.97782,0.58135,1.41182,1.42836,1.14388,4.7773e-05,4.7773e-05,4.7773e-05
