epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4223,1.61169,3.44642,1.3697,0.05681,0.98246,0.16007,0.09709,1.16403,3.04501,0.98846,0.0001,0.0001,0.0001
2,49.8175,1.17728,2.52252,1.03337,0.05754,0.99499,0.32519,0.19556,0.90167,2.79913,0.89241,0.000215644,0.000215644,0.000215644
3,74.172,1.06005,1.21726,0.95852,0.81423,0.92732,0.93815,0.6405,0.99896,2.3356,0.90516,0.000326536,0.000326536,0.000326536
4,101.638,1.04229,0.84027,0.9679,0.99714,0.87442,0.98391,0.66587,1.07581,2.15953,0.94456,0.000432676,0.000432676,0.000432676
5,127.592,0.9876,0.7235,0.95482,0.99423,0.8643,0.98404,0.74,0.96537,1.83264,0.9187,0.000534064,0.000534064,0.000534064
6,154.416,0.94543,0.72027,0.95382,0.99206,0.93993,0.98223,0.72399,0.99974,1.56535,0.92948,0.0006307,0.0006307,0.0006307
7,179.275,0.96588,0.68419,0.94717,0.99215,0.95004,0.98432,0.70896,1.03925,1.32596,0.95784,0.000722584,0.000722584,0.000722584
8,203.08,0.93241,0.65446,0.93936,0.99228,0.96704,0.98483,0.73429,0.99153,1.19567,0.94731,0.000809716,0.000809716,0.000809716
9,227.835,0.9085,0.63783,0.94302,0.9924,0.98172,0.98522,0.76066,0.91395,0.97221,0.91552,0.000892096,0.000892096,0.000892096
10,253.178,0.90925,0.61982,0.95449,0.9879,0.98246,0.9856,0.73858,0.93782,0.895,0.94366,0.000969724,0.000969724,0.000969724
11,279.029,0.90016,0.60541,0.93351,0.98552,0.98496,0.99221,0.75193,0.87611,0.89122,0.91716,0.0010426,0.0010426,0.0010426
12,305.199,0.87829,0.59339,0.9224,0.99333,0.97995,0.99126,0.75358,0.89718,0.76296,0.92781,0.00111072,0.00111072,0.00111072
13,330.464,0.91176,0.58149,0.93868,0.99284,0.97494,0.99161,0.75426,0.88865,0.70402,0.92407,0.0011741,0.0011741,0.0011741
14,356.638,0.90043,0.56868,0.93623,0.98793,0.97744,0.99156,0.75219,0.89568,0.71718,0.90152,0.00123272,0.00123272,0.00123272
15,381.174,0.89957,0.57306,0.93893,0.9874,0.98191,0.99172,0.75446,0.87778,0.7132,0.89589,0.00128658,0.00128658,0.00128658
16,407.381,0.8576,0.55938,0.92875,0.98236,0.98747,0.99272,0.75734,0.86831,0.66306,0.90328,0.0013357,0.0013357,0.0013357
17,433.096,0.86906,0.55893,0.94106,0.98221,0.98747,0.99256,0.75468,0.87899,0.62609,0.91454,0.0013664,0.0013664,0.0013664
18,460.612,0.85814,0.54913,0.92419,0.98432,0.98997,0.99226,0.76892,0.83287,0.63853,0.90178,0.0013268,0.0013268,0.0013268
19,495.367,0.86228,0.52891,0.93023,0.98261,0.99132,0.99221,0.75022,0.87567,0.63973,0.90733,0.0012872,0.0012872,0.0012872
20,520.732,0.85526,0.52284,0.92048,0.98749,0.98943,0.99085,0.75407,0.87451,0.56886,0.93162,0.0012476,0.0012476,0.0012476
21,546.099,0.86761,0.52344,0.92646,0.98018,0.99176,0.99043,0.77277,0.83205,0.53724,0.91396,0.001208,0.001208,0.001208
22,571.983,0.83552,0.51054,0.91946,0.98017,0.99248,0.99133,0.76974,0.8464,0.52277,0.91568,0.0011684,0.0011684,0.0011684
23,597.859,0.84241,0.50411,0.92412,0.98173,0.98997,0.99159,0.77855,0.84001,0.50927,0.93107,0.0011288,0.0011288,0.0011288
24,622.774,0.82208,0.50531,0.92416,0.98503,0.98978,0.98959,0.77047,0.83677,0.49863,0.91972,0.0010892,0.0010892,0.0010892
25,648.256,0.83071,0.49703,0.90922,0.98748,0.98855,0.98928,0.7678,0.84431,0.50169,0.92292,0.0010496,0.0010496,0.0010496
26,673.808,0.81227,0.48486,0.91909,0.98258,0.98942,0.99091,0.77427,0.81372,0.48275,0.93217,0.00101,0.00101,0.00101
27,699.38,0.81388,0.48096,0.91018,0.98749,0.98919,0.99062,0.77429,0.81959,0.48301,0.92892,0.0009704,0.0009704,0.0009704
28,725.492,0.83584,0.49,0.92224,0.98332,0.98997,0.99101,0.77681,0.81727,0.48691,0.9211,0.0009308,0.0009308,0.0009308
29,751.74,0.79995,0.48344,0.90067,0.98367,0.98997,0.99121,0.78127,0.80826,0.48225,0.91625,0.0008912,0.0008912,0.0008912
30,777.479,0.78815,0.48268,0.90414,0.97536,0.99215,0.99152,0.78653,0.79392,0.46212,0.91588,0.0008516,0.0008516,0.0008516
31,802.551,0.78262,0.46197,0.90242,0.98128,0.98997,0.99175,0.79051,0.78277,0.45289,0.91431,0.000812,0.000812,0.000812
32,827.762,0.80684,0.47174,0.91703,0.98406,0.98997,0.99214,0.78817,0.79631,0.4557,0.92497,0.0007724,0.0007724,0.0007724
33,854.632,0.78766,0.45662,0.89915,0.98505,0.99105,0.99185,0.78594,0.80056,0.45596,0.92489,0.0007328,0.0007328,0.0007328
34,881.998,0.77343,0.4494,0.89544,0.98493,0.98256,0.99158,0.78743,0.78901,0.45426,0.91988,0.0006932,0.0006932,0.0006932
35,907.586,0.78577,0.45319,0.90573,0.98498,0.98638,0.99205,0.79599,0.78323,0.44489,0.91611,0.0006536,0.0006536,0.0006536
36,934.377,0.76195,0.4429,0.8943,0.98415,0.98747,0.99276,0.79155,0.79861,0.44545,0.92058,0.000614,0.000614,0.000614
37,961.24,0.77205,0.44619,0.91163,0.98498,0.98643,0.99296,0.79131,0.79393,0.44178,0.91822,0.0005744,0.0005744,0.0005744
38,986.399,0.77013,0.44609,0.90517,0.98496,0.98506,0.99167,0.78951,0.79455,0.43668,0.91695,0.0005348,0.0005348,0.0005348
39,1011.9,0.76178,0.44076,0.89205,0.98258,0.98997,0.99082,0.78504,0.80449,0.44574,0.91938,0.0004952,0.0004952,0.0004952
40,1037.58,0.75312,0.43666,0.89475,0.98467,0.99248,0.99158,0.7971,0.77609,0.43317,0.9052,0.0004556,0.0004556,0.0004556
41,1063.9,0.75733,0.60187,0.89013,0.98515,0.98997,0.99195,0.79657,0.78439,0.42858,0.90696,0.000416,0.000416,0.000416
42,1090.49,0.76495,0.5173,0.90161,0.98752,0.99124,0.99289,0.79779,0.78191,0.45169,0.90159,0.0003764,0.0003764,0.0003764
43,1116.66,0.76057,0.46565,0.89323,0.98596,0.98997,0.99333,0.79675,0.78027,0.48089,0.90235,0.0003368,0.0003368,0.0003368
44,1141.38,0.74667,0.48559,0.88542,0.98749,0.98936,0.9939,0.79699,0.77803,0.47317,0.90605,0.0002972,0.0002972,0.0002972
45,1166.29,0.73246,0.46089,0.88188,0.98749,0.98904,0.99379,0.79957,0.77671,0.46035,0.90907,0.0002576,0.0002576,0.0002576
46,1192.06,0.73154,0.4412,0.88188,0.98746,0.98704,0.99347,0.79847,0.7735,0.45288,0.91379,0.000218,0.000218,0.000218
47,1217.15,0.73664,0.441,0.88489,0.98745,0.98568,0.99349,0.7958,0.7741,0.44957,0.91351,0.0001784,0.0001784,0.0001784
48,1241.68,0.73663,0.44438,0.89327,0.9871,0.98747,0.99272,0.79478,0.77647,0.44217,0.90838,0.0001388,0.0001388,0.0001388
49,1266.68,0.72412,0.43185,0.8762,0.98719,0.98747,0.99246,0.79336,0.77645,0.43679,0.9063,9.92e-05,9.92e-05,9.92e-05
50,1291.03,0.72456,0.42714,0.87897,0.98718,0.98747,0.99251,0.79679,0.7745,0.42552,0.90331,5.96e-05,5.96e-05,5.96e-05
